READING_ID,TIMESTAMP,CONTAINER_ID,COMMODITY,CATEGORY,PRICE_PER_KG,SHELF_LIFE_DAYS,OPTIMAL_TEMP_MIN,OPTIMAL_TEMP_MAX,RISK_LEVEL,ROUTE_KEY,SOURCE,DESTINATION,TEMPERATURE,HUMIDITY,VIBRATION,BATTERY_LEVEL,SPEED,LATITUDE,LONGITUDE
R000353,2026-08-06 17:45:05.000 -0700,A111,Broccoli,Exotic Fruits & Vegetables,180,14,0,4,High,Nagpur -> Raipur,Nagpur,Raipur,2,96,0.21,85,73.6,12.683017,77.812511
R000357,2026-08-06 17:45:26.000 -0700,A105,Frozen Fish,Frozen Foods,450,180,-20,-18,Critical,Ahmedabad -> Delhi,Ahmedabad,Delhi,-19,60,0.18,81,67.3,9.813779,76.144309
R000360,2026-08-06 17:45:41.000 -0700,A113,Kiwi,Exotic Fruits & Vegetables,320,45,0,1,High,Hyderabad -> Bengaluru,Hyderabad,Bengaluru,0.5,94,0.32,77,46.6,13.277805,77.920699
R000365,2026-08-06 17:46:06.000 -0700,A108,Strawberries,Fruits,350,7,0,2,High,Hyderabad -> Bengaluru,Hyderabad,Bengaluru,1,,0.4,90,86.5,19.290097,73.366588
R000366,2026-08-06 17:46:11.000 -0700,A105,Kiwi,Exotic Fruits & Vegetables,320,45,0,1,High,Indore -> Delhi,Indore,Delhi,0.5,94,0.37,55,83.3,13.122832,77.081912
R000367,2026-08-06 17:46:16.000 -0700,A108,Frozen Meat,Frozen Foods,700,365,-20,-18,Critical,Kochi -> Mumbai,Kochi,Mumbai,-19,55,0.33,55,46.3,19.352892,72.61664
R000371,2026-08-06 17:46:36.000 -0700,A106,Asparagus,Exotic Fruits & Vegetables,450,10,2,4,High,Mumbai -> Jaipur,Mumbai,Jaipur,3,98,0.69,44,89.8,13.293131,77.614507
R000374,2026-08-06 17:46:51.000 -0700,A111,Antibiotics,Pharmaceuticals,1500,365,2,8,High,Kochi -> Bengaluru,Kochi,Bengaluru,5,46,0.44,79,80.4,17.258487,78.128413
R000378,2026-08-06 17:47:11.000 -0700,A101,Blood Plasma,Pharmaceuticals,8000,365,-30,-20,Critical,Indore -> Bhopal,Indore,Bhopal,-25,35,0.18,63,51.3,17.898035,78.944775
R000381,2026-08-06 17:47:26.000 -0700,A103,Kiwi,Exotic Fruits & Vegetables,320,45,0,1,High,Nashik -> Jaipur,Nashik,Jaipur,0.5,93,0.69,53,40.2,13.436736,77.042172
R000383,2026-08-06 17:47:36.000 -0700,A109,Frozen Prawns,Frozen Foods,650,180,-20,-18,Critical,Nashik -> Jaipur,Nashik,Jaipur,-19,40,0.69,60,81.9,9.906111,76.907705
R000385,2026-08-06 17:47:46.000 -0700,A114,Biologics,Pharmaceuticals,6000,365,2,8,Critical,Indore -> Bhopal,Indore,Bhopal,5,50,0.42,94,78.6,17.71888,78.386675
R000389,2026-08-06 17:48:06.000 -0700,A107,Insulin,Pharmaceuticals,3500,365,2,8,Critical,Nagpur -> Hyderabad,Nagpur,Hyderabad,5,40,0.17,91,82.8,17.148467,78.568383
R000390,2026-08-06 17:48:11.000 -0700,A108,Frozen Chicken,Frozen Foods,320,365,-20,-18,High,Bengaluru -> Kochi,Bengaluru,Kochi,-19,47,0.54,62,73.5,12.888116,77.822677
R000391,2026-08-06 17:48:16.000 -0700,A108,Avocados,Exotic Fruits & Vegetables,280,21,4,8,High,Surat -> Pune,Surat,Pune,6,70,0.37,69,42.2,12.603043,77.92305
R000395,2026-08-06 17:48:36.000 -0700,A114,Frozen Fish,Frozen Foods,450,180,-20,-18,Critical,Hyderabad -> Kolkata,Hyderabad,Kolkata,-19,46,0.92,97,65.4,10.444142,76.948832
R000396,2026-08-06 17:48:41.000 -0700,A110,Antibiotics,Pharmaceuticals,1500,365,2,8,High,Hyderabad -> Chennai,Hyderabad,Chennai,5,38,0.5,41,89.2,17.23899,78.08767
R000400,2026-08-06 17:49:01.000 -0700,A109,Kiwi,Exotic Fruits & Vegetables,320,45,0,1,High,Indore -> Bhopal,Indore,Bhopal,0.5,95,0.58,45,56.2,12.513884,77.325421
R000402,2026-08-06 17:49:11.000 -0700,A114,Kiwi,Exotic Fruits & Vegetables,320,45,0,1,High,Lucknow -> Patna,Lucknow,Patna,0.5,92,0.37,64,78,13.393001,77.235828
R000404,2026-08-06 17:49:21.000 -0700,A101,Medicines,Pharmaceuticals,1200,730,15,25,High,Lucknow -> Patna,Lucknow,Patna,20,60,0.28,78,66.4,17.294236,78.50617
R000409,2026-08-06 17:49:46.000 -0700,A112,Frozen Fish,Frozen Foods,450,180,-20,-18,Critical,Bengaluru -> Kochi,Bengaluru,Kochi,-19,44,0.26,40,81,9.72176,76.859672
R000411,2026-08-06 17:49:56.000 -0700,A105,Medicines,Pharmaceuticals,1200,730,15,25,High,Nagpur -> Hyderabad,Nagpur,Hyderabad,20,52,0.16,97,86.6,17.515809,78.599283
R000412,2026-08-06 17:50:02.000 -0700,A107,Frozen Prawns,Frozen Foods,650,180,-20,-18,Critical,Pune -> Nagpur,Pune,Nagpur,-19,48,0.68,43,73.9,10.01093,76.756225
R000415,2026-08-06 17:50:17.000 -0700,A102,Frozen Fish,Frozen Foods,450,180,-20,-18,Critical,Kolkata -> Guwahati,Kolkata,Guwahati,-19,57,0.75,45,56.1,9.863029,76.880558
R000416,2026-08-06 17:50:22.000 -0700,A106,Asparagus,Exotic Fruits & Vegetables,450,10,2,4,High,Mumbai -> Jaipur,Mumbai,Jaipur,3,98,0.64,74,67.1,12.897693,77.818439
R000418,2026-08-06 17:50:32.000 -0700,A112,Frozen Meat,Frozen Foods,700,365,-20,-18,Critical,Mumbai -> Delhi,Mumbai,Delhi,-19,44,0.56,75,40.2,19.29342,72.76695
R000420,2026-08-06 17:50:42.000 -0700,A109,Avocados,Exotic Fruits & Vegetables,280,21,4,8,High,Nashik -> Delhi,Nashik,Delhi,6,77,0.28,87,35.5,12.819419,77.605638
R000421,2026-08-06 17:50:47.000 -0700,A109,Kiwi,Exotic Fruits & Vegetables,320,45,0,1,High,Indore -> Bhopal,Indore,Bhopal,0.5,95,0.13,59,60,12.749678,77.624384
R000422,2026-08-06 17:50:52.000 -0700,A114,Vaccines,Pharmaceuticals,5000,365,2,8,Critical,Pune -> Nagpur,Pune,Nagpur,5,37,0.17,62,73,17.95563,78.243661
R000424,2026-08-06 17:51:02.000 -0700,A101,Frozen Chicken,Frozen Foods,320,365,-20,-18,High,Ahmedabad -> Chandigarh,Ahmedabad,Chandigarh,-19,50,0.18,75,74,12.983347,77.697221
R000425,2026-08-06 17:51:07.000 -0700,A109,Insulin,Pharmaceuticals,3500,365,2,8,Critical,Mumbai -> Ahmedabad,Mumbai,Ahmedabad,5,48,0.28,42,72.5,17.159279,78.03313
R000430,2026-08-06 17:51:32.000 -0700,A114,Vaccines,Pharmaceuticals,5000,365,2,8,Critical,Hyderabad -> Chennai,Hyderabad,Chennai,5,47,0.49,66,63.8,17.067771,78.797029
R000433,2026-08-06 17:51:47.000 -0700,A101,Biologics,Pharmaceuticals,6000,365,2,8,Critical,Visakhapatnam -> Bhubaneswar,Visakhapatnam,Bhubaneswar,5,40,0.12,56,49.7,17.458237,78.620307
R000436,2026-08-06 17:52:02.000 -0700,A108,Biologics,Pharmaceuticals,6000,365,2,8,Critical,Pune -> Hyderabad,Pune,Hyderabad,5,44,0.5,47,50.1,17.422339,78.396194
R000439,2026-08-06 17:52:17.000 -0700,A113,Blood Plasma,Pharmaceuticals,8000,365,-30,-20,Critical,Ahmedabad -> Delhi,Ahmedabad,Delhi,-25,42,0.14,62,75.5,17.074388,78.550918
R000442,2026-08-06 17:52:32.000 -0700,A101,Frozen Prawns,Frozen Foods,650,180,-20,-18,Critical,Nashik -> Delhi,Nashik,Delhi,-19,44,0.89,54,47.4,9.936057,76.584011
R000444,2026-08-06 17:52:42.000 -0700,A115,Antibiotics,Pharmaceuticals,1500,365,2,8,High,Pune -> Nagpur,Pune,Nagpur,5,33,0.23,96,53,17.00561,78.83824
R000446,2026-08-06 17:52:52.000 -0700,A102,Antibiotics,Pharmaceuticals,1500,365,2,8,High,Mumbai -> Ahmedabad,Mumbai,Ahmedabad,5,42,0.17,80,39.3,17.634272,78.692025
R000448,2026-08-06 17:53:02.000 -0700,A103,Frozen Prawns,Frozen Foods,650,180,-20,-18,Critical,Kolkata -> Guwahati,Kolkata,Guwahati,-19,58,0.56,48,39.9,9.602651,76.583811
R000450,2026-08-06 17:53:12.000 -0700,A113,Frozen Fish,Frozen Foods,450,180,-20,-18,Critical,Pune -> Lucknow,Pune,Lucknow,-19,42,0.62,81,76.5,10.225609,76.758425
R000453,2026-08-06 17:53:27.000 -0700,A103,Avocados,Exotic Fruits & Vegetables,280,21,4,8,High,Ahmedabad -> Chandigarh,Ahmedabad,Chandigarh,6,78,0.58,77,61.8,12.530132,77.917506
R000454,2026-08-06 17:53:32.000 -0700,A115,Frozen Fish,Frozen Foods,450,180,-20,-18,Critical,Pune -> Nagpur,Pune,Nagpur,-19,48,0.2,84,80.4,9.615471,76.198241
R000456,2026-08-06 17:53:42.000 -0700,A107,Asparagus,Exotic Fruits & Vegetables,450,10,2,4,High,Nashik -> Jaipur,Nashik,Jaipur,3,99,0.65,58,72.1,12.579051,77.845352
R000457,2026-08-06 17:53:47.000 -0700,A109,Strawberries,Fruits,350,7,0,2,High,Pune -> Hyderabad,Pune,Hyderabad,1,92,0.26,97,88.1,19.009152,73.35118
R000458,2026-08-06 17:53:52.000 -0700,A115,Broccoli,Exotic Fruits & Vegetables,180,14,0,4,High,Bengaluru -> Kochi,Bengaluru,Kochi,2,97,0.68,53,49.6,13.178987,77.328599
R000461,2026-08-06 17:54:07.000 -0700,A107,Strawberries,Fruits,350,7,0,2,High,Mumbai -> Delhi,Mumbai,Delhi,1,92,0.32,73,71.3,18.568294,73.62195
R000462,2026-08-06 17:54:12.000 -0700,A115,Ice Cream,Frozen Foods,250,180,-25,-18,High,Delhi -> Amritsar,Delhi,Amritsar,-21.5,58,0.52,96,31,19.632102,73.033723
R000463,2026-08-06 17:54:17.000 -0700,A109,Broccoli,Exotic Fruits & Vegetables,180,14,0,4,High,Nagpur -> Raipur,Nagpur,Raipur,2,100,0.48,93,51.6,12.774837,77.693129
R000465,2026-08-06 17:54:27.000 -0700,A110,Frozen Chicken,Frozen Foods,320,365,-20,-18,High,Hyderabad -> Bengaluru,Hyderabad,Bengaluru,-19,52,0.88,69,34.3,13.486165,77.025621
R000466,2026-08-06 17:54:32.000 -0700,A107,Insulin,Pharmaceuticals,3500,365,2,8,Critical,Kolkata -> Guwahati,Kolkata,Guwahati,5,40,0.19,71,53.3,17.103456,78.720907
R000467,2026-08-06 17:54:37.000 -0700,A107,Biologics,Pharmaceuticals,6000,365,2,8,Critical,Chennai -> Coimbatore,Chennai,Coimbatore,5,46,0.35,88,84.2,17.040861,78.689536
R000469,2026-08-06 17:54:47.000 -0700,A106,Antibiotics,Pharmaceuticals,1500,365,2,8,High,Ahmedabad -> Chandigarh,Ahmedabad,Chandigarh,5,30,0.26,75,50.5,17.677092,78.811391
R000471,2026-08-06 17:54:58.000 -0700,A107,Kiwi,Exotic Fruits & Vegetables,320,45,0,1,High,Hyderabad -> Bengaluru,Hyderabad,Bengaluru,0.5,91,0.2,49,36.8,13.072945,77.640095
R000473,2026-08-06 17:55:08.000 -0700,A104,Kiwi,Exotic Fruits & Vegetables,320,45,0,1,High,Hyderabad -> Chennai,Hyderabad,Chennai,0.5,92,0.35,94,30.5,13.164168,77.072089
R000474,2026-08-06 17:55:13.000 -0700,A108,Broccoli,Exotic Fruits & Vegetables,180,14,0,4,High,Ahmedabad -> Chandigarh,Ahmedabad,Chandigarh,2,99,0.35,97,31.3,13.204514,77.193766
R000475,2026-08-06 17:55:18.000 -0700,A106,Blood Plasma,Pharmaceuticals,8000,365,-30,-20,Critical,Kochi -> Bengaluru,Kochi,Bengaluru,-25,32,0.37,94,82.7,17.677277,78.861559
R000479,2026-08-06 17:55:38.000 -0700,A111,Frozen Meat,Frozen Foods,700,365,-20,-18,Critical,Hyderabad -> Kolkata,Hyderabad,Kolkata,-19,51,0.59,70,58.2,19.453149,72.8678
R000482,2026-08-06 17:55:53.000 -0700,A107,Medicines,Pharmaceuticals,1200,730,15,25,High,Lucknow -> Patna,Lucknow,Patna,20,59,0.41,58,72,17.10679,78.097477
R000483,2026-08-06 17:55:58.000 -0700,A110,Ice Cream,Frozen Foods,250,180,-25,-18,High,Bengaluru -> Kochi,Bengaluru,Kochi,-21.5,,0.18,98,48.1,19.649705,73.104189
R000485,2026-08-06 17:56:08.000 -0700,A108,Antibiotics,Pharmaceuticals,1500,365,2,8,High,Delhi -> Amritsar,Delhi,Amritsar,5,47,0.48,51,30.6,17.315257,78.354466
R000486,2026-08-06 17:56:13.000 -0700,A112,Frozen Fish,Frozen Foods,450,180,-20,-18,Critical,Kolkata -> Guwahati,Kolkata,Guwahati,-19,41,0.5,62,39.5,9.800722,76.725448
R000488,2026-08-06 17:56:23.000 -0700,A108,Strawberries,Fruits,350,7,0,2,High,Kochi -> Mumbai,Kochi,Mumbai,1,95,0.53,55,69.6,19.240668,73.100706
R000489,2026-08-06 17:56:28.000 -0700,A101,Asparagus,Exotic Fruits & Vegetables,450,10,2,4,High,Lucknow -> Patna,Lucknow,Patna,3,95,0.59,93,77.7,12.932612,77.496764
R000491,2026-08-06 17:56:38.000 -0700,A109,Biologics,Pharmaceuticals,6000,365,2,8,Critical,Kochi -> Mumbai,Kochi,Mumbai,5,43,0.37,46,65.8,17.010697,78.831551
R000492,2026-08-06 17:56:43.000 -0700,A105,Frozen Prawns,Frozen Foods,650,180,-20,-18,Critical,Kochi -> Bengaluru,Kochi,Bengaluru,-19,50,0.12,72,48,9.713837,76.064488
R000493,2026-08-06 17:56:48.000 -0700,A107,Avocados,Exotic Fruits & Vegetables,280,21,4,8,High,Nagpur -> Hyderabad,Nagpur,Hyderabad,6,75,0.33,80,55.2,13.419839,77.992612
R000495,2026-08-06 17:56:58.000 -0700,A102,Medicines,Pharmaceuticals,1200,730,15,25,High,Chennai -> Coimbatore,Chennai,Coimbatore,20,47,0.43,59,66.8,17.059804,78.39054
R000499,2026-08-06 17:57:18.000 -0700,A114,Vaccines,Pharmaceuticals,5000,365,2,8,Critical,Delhi -> Amritsar,Delhi,Amritsar,5,32,0.26,42,39,17.618549,78.348615
R000500,2026-08-06 17:57:23.000 -0700,A108,Antibiotics,Pharmaceuticals,1500,365,2,8,High,Hyderabad -> Bengaluru,Hyderabad,Bengaluru,5,,0.4,92,72,17.243965,78.496433
R000501,2026-08-06 17:57:28.000 -0700,A115,Biologics,Pharmaceuticals,6000,365,2,8,Critical,Indore -> Bhopal,Indore,Bhopal,5,30,0.19,52,31.9,17.721142,78.585381
R000502,2026-08-06 17:57:33.000 -0700,A105,Vaccines,Pharmaceuticals,5000,365,2,8,Critical,Chennai -> Coimbatore,Chennai,Coimbatore,5,49,0.25,53,64.8,17.123701,78.273894
R000504,2026-08-06 17:57:43.000 -0700,A105,Frozen Chicken,Frozen Foods,320,365,-20,-18,High,Hyderabad -> Kolkata,Hyderabad,Kolkata,-19,50,0.17,46,32.6,13.372394,77.371387
R000505,2026-08-06 17:57:48.000 -0700,A114,Vaccines,Pharmaceuticals,5000,365,2,8,Critical,Hyderabad -> Bengaluru,Hyderabad,Bengaluru,5,39,0.21,93,68.7,17.037229,78.746541
R000506,2026-08-06 17:57:53.000 -0700,A111,Frozen Prawns,Frozen Foods,650,180,-20,-18,Critical,Chennai -> Coimbatore,Chennai,Coimbatore,-19,57,0.36,57,60.8,9.673234,76.855353
R000508,2026-08-06 17:58:03.000 -0700,A114,Frozen Meat,Frozen Foods,700,365,-20,-18,Critical,Chennai -> Coimbatore,Chennai,Coimbatore,-19,40,0.35,100,52.6,19.2604,72.986996
R000511,2026-08-06 17:58:18.000 -0700,A107,Strawberries,Fruits,350,7,0,2,High,Chennai -> Coimbatore,Chennai,Coimbatore,1,93,0.22,64,35.9,19.479168,73.11265
R000513,2026-08-06 17:58:28.000 -0700,A103,Frozen Fish,Frozen Foods,450,180,-20,-18,Critical,Visakhapatnam -> Bhubaneswar,Visakhapatnam,Bhubaneswar,-19,,0.54,40,79.3,9.881609,76.366316
R000516,2026-08-06 17:58:43.000 -0700,A111,Kiwi,Exotic Fruits & Vegetables,320,45,0,1,High,Mumbai -> Ahmedabad,Mumbai,Ahmedabad,0.5,90,0.21,64,64.1,13.199403,77.61316
R000523,2026-08-06 17:59:18.000 -0700,A103,Lettuce,Exotic Fruits & Vegetables,90,7,0,2,High,Pune -> Hyderabad,Pune,Hyderabad,1,100,0.47,81,68.5,12.532193,77.136783
R000524,2026-08-06 17:59:23.000 -0700,A115,Kiwi,Exotic Fruits & Vegetables,320,45,0,1,High,Bengaluru -> Kochi,Bengaluru,Kochi,0.5,91,0.47,89,81,12.712075,77.935038
R000526,2026-08-06 17:59:33.000 -0700,A102,Frozen Chicken,Frozen Foods,320,365,-20,-18,High,Mumbai -> Delhi,Mumbai,Delhi,-19,56,0.28,64,51.9,12.720295,77.862583
R000527,2026-08-06 17:59:38.000 -0700,A115,Insulin,Pharmaceuticals,3500,365,2,8,Critical,Nagpur -> Raipur,Nagpur,Raipur,5,43,0.21,43,47.9,17.562255,78.925118
R000528,2026-08-06 17:59:43.000 -0700,A106,Broccoli,Exotic Fruits & Vegetables,180,14,0,4,High,Bengaluru -> Kochi,Bengaluru,Kochi,2,97,0.77,77,88.9,13.049817,77.344952
R000529,2026-08-06 17:59:48.000 -0700,A105,Strawberries,Fruits,350,7,0,2,High,Mumbai -> Goa,Mumbai,Goa,1,90,0.41,83,65.9,19.360316,73.166064
R000532,2026-08-06 18:00:03.000 -0700,A113,Antibiotics,Pharmaceuticals,1500,365,2,8,High,Mumbai -> Delhi,Mumbai,Delhi,5,34,0.22,81,36.8,17.758293,78.892674
R000540,2026-08-06 18:00:44.000 -0700,A115,Broccoli,Exotic Fruits & Vegetables,180,14,0,4,High,Pune -> Hyderabad,Pune,Hyderabad,2,97,0.22,76,59.3,13.447204,77.613738
R000542,2026-08-06 18:00:54.000 -0700,A104,Frozen Meat,Frozen Foods,700,365,-20,-18,Critical,Visakhapatnam -> Bhubaneswar,Visakhapatnam,Bhubaneswar,-19,40,0.37,71,61.7,19.533907,73.142165
R000543,2026-08-06 18:00:59.000 -0700,A102,Lettuce,Exotic Fruits & Vegetables,90,7,0,2,High,Delhi -> Amritsar,Delhi,Amritsar,1,97,0.53,67,74.8,12.957858,77.432286
R000545,2026-08-06 18:01:09.000 -0700,A108,Frozen Fish,Frozen Foods,450,180,-20,-18,Critical,Lucknow -> Patna,Lucknow,Patna,-19,55,0.65,52,54,10.036559,76.326578
R000550,2026-08-06 18:01:34.000 -0700,A107,Avocados,Exotic Fruits & Vegetables,280,21,4,8,High,Mumbai -> Goa,Mumbai,Goa,6,67,0.1,71,53,12.839036,77.570362
R000555,2026-08-06 18:01:59.000 -0700,A104,Broccoli,Exotic Fruits & Vegetables,180,14,0,4,High,Kochi -> Mumbai,Kochi,Mumbai,2,99,0.45,72,89.4,13.366128,77.83551
R000556,2026-08-06 18:02:04.000 -0700,A103,Kiwi,Exotic Fruits & Vegetables,320,45,0,1,High,Nashik -> Delhi,Nashik,Delhi,0.5,94,0.52,86,47.4,12.65627,77.692817
R000557,2026-08-06 18:02:09.000 -0700,A108,Insulin,Pharmaceuticals,3500,365,2,8,Critical,Chennai -> Coimbatore,Chennai,Coimbatore,5,33,0.2,81,81.9,17.759321,78.517544
R000558,2026-08-06 18:02:14.000 -0700,A105,Broccoli,Exotic Fruits & Vegetables,180,14,0,4,High,Delhi -> Amritsar,Delhi,Amritsar,2,97,0.52,51,67.7,12.976954,77.748929
R000559,2026-08-06 18:02:19.000 -0700,A106,Insulin,Pharmaceuticals,3500,365,2,8,Critical,Chennai -> Coimbatore,Chennai,Coimbatore,5,45,0.49,80,45.4,17.967444,78.76043
R000566,2026-08-06 18:02:54.000 -0700,A102,Frozen Fish,Frozen Foods,450,180,-20,-18,Critical,Chennai -> Coimbatore,Chennai,Coimbatore,-19,46,0.99,50,48.5,10.184745,76.069885
R000567,2026-08-06 18:02:59.000 -0700,A104,Frozen Chicken,Frozen Foods,320,365,-20,-18,High,Kochi -> Mumbai,Kochi,Mumbai,-19,,0.42,59,66.1,12.964435,77.153367
R000568,2026-08-06 18:03:04.000 -0700,A111,Strawberries,Fruits,350,7,0,2,High,Mumbai -> Jaipur,Mumbai,Jaipur,1,90,0.45,65,78.3,18.938549,73.725953
R000569,2026-08-06 18:03:09.000 -0700,A106,Frozen Prawns,Frozen Foods,650,180,-20,-18,Critical,Ahmedabad -> Delhi,Ahmedabad,Delhi,-19,42,0.61,63,79.3,10.291603,76.31914
R000570,2026-08-06 18:03:14.000 -0700,A113,Frozen Fish,Frozen Foods,450,180,-20,-18,Critical,Surat -> Pune,Surat,Pune,-19,55,0.67,45,74.6,9.791674,76.930426
R000572,2026-08-06 18:03:24.000 -0700,A106,Frozen Prawns,Frozen Foods,650,180,-20,-18,Critical,Lucknow -> Patna,Lucknow,Patna,-19,41,0.67,63,50,10.181061,76.354427
R000574,2026-08-06 18:03:34.000 -0700,A108,Lettuce,Exotic Fruits & Vegetables,90,7,0,2,High,Mumbai -> Delhi,Mumbai,Delhi,1,99,0.5,46,49.3,13.351484,77.899398
R000575,2026-08-06 18:03:39.000 -0700,A103,Broccoli,Exotic Fruits & Vegetables,180,14,0,4,High,Pune -> Nagpur,Pune,Nagpur,2,95,0.55,77,70.5,12.937218,77.812129
R000576,2026-08-06 18:03:44.000 -0700,A105,Ice Cream,Frozen Foods,250,180,-25,-18,High,Hyderabad -> Kolkata,Hyderabad,Kolkata,-21.5,50,0.46,95,89.2,19.526452,72.899008
R000327,2026-08-06 17:42:55.000 -0700,A105,Cabbage,Vegetables,30,60,0,2,Low,Bengaluru -> Kochi,Bengaluru,Kochi,1,99,0.37,55,49.6,30.755781,76.247992
R000328,2026-08-06 17:43:00.000 -0700,A106,Capsicum,Vegetables,80,21,7,10,Medium,Pune -> Lucknow,Pune,Lucknow,8.5,91,0.61,61,42.8,13.42307,77.440862
R000330,2026-08-06 17:43:10.000 -0700,A101,Carrot,Vegetables,50,60,0,4,Low,Mumbai -> Ahmedabad,Mumbai,Ahmedabad,2,96,0.34,60,33.3,30.450764,76.81057
R000331,2026-08-06 17:43:15.000 -0700,A102,Cabbage,Vegetables,30,60,0,2,Low,Kolkata -> Guwahati,Kolkata,Guwahati,1,97,0.29,55,68.2,30.645531,76.638109
R000332,2026-08-06 17:43:20.000 -0700,A103,Pineapple,Fruits,90,20,7,10,Low,Ahmedabad -> Delhi,Ahmedabad,Delhi,8.5,90,0.71,84,44.2,11.171289,76.063002
R000334,2026-08-06 17:43:30.000 -0700,A115,Frozen Corn,Frozen Foods,160,365,-20,-18,Medium,Ahmedabad -> Delhi,Ahmedabad,Delhi,-19,54,0.26,53,66.9,23.023542,75.537528
R000335,2026-08-06 17:43:35.000 -0700,A109,Carrot,Vegetables,50,60,0,4,Low,Mumbai -> Jaipur,Mumbai,Jaipur,2,95,0.44,93,38.2,30.877419,76.531366
R000336,2026-08-06 17:43:40.000 -0700,A112,Potato,Vegetables,30,90,4,8,Low,Chennai -> Coimbatore,Chennai,Coimbatore,6,94,0.68,64,30.2,22.463381,75.348141
R000339,2026-08-06 17:43:55.000 -0700,A105,Apple,Fruits,180,45,0,4,Medium,Nagpur -> Hyderabad,Nagpur,Hyderabad,2,94,0.15,86,60.9,34.56587,74.616438
R000341,2026-08-06 17:44:05.000 -0700,A104,Potato,Vegetables,30,90,4,8,Low,Lucknow -> Patna,Lucknow,Patna,6,92,0.45,76,87,22.870704,75.631081
R000342,2026-08-06 17:44:10.000 -0700,A104,Potato,Vegetables,30,90,4,8,Low,Surat -> Pune,Surat,Pune,6,90,0.71,57,88,22.753851,75.929641
R000344,2026-08-06 17:44:20.000 -0700,A103,Frozen Peas,Frozen Foods,180,365,-20,-18,Medium,Hyderabad -> Chennai,Hyderabad,Chennai,-19,40,0.43,94,81.2,30.282642,76.907634
R000346,2026-08-06 17:44:30.000 -0700,A115,Dragon Fruit,Exotic Fruits & Vegetables,250,20,5,10,Medium,Ahmedabad -> Chandigarh,Ahmedabad,Chandigarh,7.5,89,0.18,62,50.4,17.433958,78.699009
R000347,2026-08-06 17:44:35.000 -0700,A103,Dragon Fruit,Exotic Fruits & Vegetables,250,20,5,10,Medium,Nagpur -> Raipur,Nagpur,Raipur,7.5,85,0.1,77,36,17.546219,78.788398
R000348,2026-08-06 17:44:40.000 -0700,A112,Mango,Fruits,220,14,10,13,Medium,Chennai -> Coimbatore,Chennai,Coimbatore,11.5,85,0.24,98,45.9,18.568319,73.499804
