READING_ID,TIMESTAMP,CONTAINER_ID,COMMODITY,CATEGORY,SOURCE,DESTINATION,TEMPERATURE,HUMIDITY,VIBRATION,BATTERY_LEVEL,SPEED,LATITUDE,LONGITUDE,INGESTED_AT
R000346,2026-08-06 17:44:30.000 -0700,A115,Dragon Fruit,Exotic Fruits & Vegetables,Ahmedabad,Chandigarh,9.86,89,0.18,62,50.4,17.433958,78.699009,2026-08-06 05:14:30.825 -0700
R000347,2026-08-06 17:44:35.000 -0700,A103,Dragon Fruit,Exotic Fruits & Vegetables,Nagpur,Raipur,9.46,85,0.1,77,36,17.546219,78.788398,2026-08-06 05:14:35.833 -0700
R000348,2026-08-06 17:44:40.000 -0700,A112,Mango,Fruits,Chennai,Coimbatore,12.51,85,0.24,98,45.9,18.568319,73.499804,2026-08-06 05:14:40.881 -0700
R000349,2026-08-06 17:44:45.000 -0700,A112,Kiwi,Exotic Fruits & Vegetables,Visakhapatnam,Bhubaneswar,0.21,93,0.68,63,76.2,13.492954,77.307845,2026-08-06 05:14:45.901 -0700
R000350,2026-08-06 17:44:50.000 -0700,A106,Frozen French Fries,Frozen Foods,Bengaluru,Chennai,-18.34,52,0.5,41,89.1,19.511144,73.40706,2026-08-06 05:14:50.942 -0700
R000351,2026-08-06 17:44:55.000 -0700,A105,Carrot,Vegetables,Mumbai,Delhi,2.05,98,0.61,59,45.9,30.868552,76.15518,2026-08-06 05:14:55.932 -0700
R000352,2026-08-06 17:45:00.000 -0700,A103,Apple,Fruits,Indore,Bhopal,1.71,95,0.51,82,49.5,34.082003,75.112973,2026-08-06 05:15:00.934 -0700
R000353,2026-08-06 17:45:05.000 -0700,A111,Broccoli,Exotic Fruits & Vegetables,Nagpur,Raipur,1.84,96,0.21,85,73.6,12.683017,77.812511,2026-08-06 05:15:05.986 -0700
R000354,2026-08-06 17:45:10.000 -0700,A105,Frozen Peas,Frozen Foods,Ahmedabad,Chandigarh,-19.92,50,0.33,83,88.3,30.316228,76.702643,2026-08-06 05:15:10.964 -0700
R000355,2026-08-06 17:45:15.000 -0700,A107,Mango,Fruits,Lucknow,Patna,10.27,86,0.55,74,74.2,17.803617,73.885991,2026-08-06 05:15:16.081 -0700
R000356,2026-08-06 17:45:21.000 -0700,A103,Tomato,Vegetables,Hyderabad,Bengaluru,9.32,87,0.74,82,47.6,22.555978,76.032934,2026-08-06 05:15:21.068 -0700
R000357,2026-08-06 17:45:26.000 -0700,A105,Frozen Fish,Frozen Foods,Ahmedabad,Delhi,-19.83,60,0.18,81,67.3,9.813779,76.144309,2026-08-06 05:15:26.104 -0700
R000358,2026-08-06 17:45:31.000 -0700,A103,Dragon Fruit,Exotic Fruits & Vegetables,Mumbai,Goa,,86,0.74,83,63,17.580703,78.525437,2026-08-06 05:15:31.088 -0700
R000359,2026-08-06 17:45:36.000 -0700,A108,Onion,Vegetables,Pune,Hyderabad,2.54,74,0.66,68,82.1,20.290168,74.760589,2026-08-06 05:15:36.109 -0700
R000360,2026-08-06 17:45:41.000 -0700,A113,Kiwi,Exotic Fruits & Vegetables,Hyderabad,Bengaluru,0.62,94,0.32,77,46.6,13.277805,77.920699,2026-08-06 05:15:41.140 -0700
R000361,2026-08-06 17:45:46.000 -0700,A108,Frozen Corn,Frozen Foods,Hyderabad,Kolkata,-18.29,47,0.15,84,54.1,22.573298,75.158171,2026-08-06 05:15:46.177 -0700
R000362,2026-08-06 17:45:51.000 -0700,A104,Grapes,Fruits,Chennai,Coimbatore,1.87,95,0.73,85,74.3,20.232209,73.614117,2026-08-06 05:15:51.212 -0700
R000363,2026-08-06 17:45:56.000 -0700,A104,Green Peas,Vegetables,Mumbai,Goa,4.84,95,0.11,81,54.7,30.988126,76.9666,2026-08-06 05:15:56.253 -0700
R000364,2026-08-06 17:46:01.000 -0700,A114,Carrot,Vegetables,Delhi,Amritsar,1.44,100,0.25,82,83.7,30.829612,76.392852,2026-08-06 05:16:01.249 -0700
R000365,2026-08-06 17:46:06.000 -0700,A108,Strawberries,Fruits,Hyderabad,Bengaluru,1.27,,0.4,90,86.5,19.290097,73.366588,2026-08-06 05:16:06.298 -0700
R000366,2026-08-06 17:46:11.000 -0700,A105,Kiwi,Exotic Fruits & Vegetables,Indore,Delhi,0.53,94,0.37,55,83.3,13.122832,77.081912,2026-08-06 05:16:11.331 -0700
R000367,2026-08-06 17:46:16.000 -0700,A108,Frozen Meat,Frozen Foods,Kochi,Mumbai,-18.86,55,0.33,55,46.3,19.352892,72.61664,2026-08-06 05:16:16.324 -0700
R000368,2026-08-06 17:46:21.000 -0700,A115,Grapes,Fruits,Ahmedabad,Chandigarh,,95,0.55,49,38.1,19.829877,74.11346,2026-08-06 05:16:21.331 -0700
R000369,2026-08-06 17:46:26.000 -0700,A111,Banana,Fruits,Nashik,Delhi,13.82,89,0.26,78,70.6,17.087299,80.31738,2026-08-06 05:16:26.386 -0700
R000370,2026-08-06 17:46:31.000 -0700,A104,Dragon Fruit,Exotic Fruits & Vegetables,Lucknow,Patna,13.96,88,0.2,74,67.7,17.484591,78.343026,2026-08-06 05:16:31.406 -0700
R000371,2026-08-06 17:46:36.000 -0700,A106,Asparagus,Exotic Fruits & Vegetables,Mumbai,Jaipur,3.61,98,0.69,44,89.8,13.293131,77.614507,2026-08-06 05:16:36.403 -0700
R000372,2026-08-06 17:46:41.000 -0700,A110,Green Peas,Vegetables,Kolkata,Guwahati,1.42,91,0.75,70,30.2,30.993817,76.460186,2026-08-06 05:16:41.453 -0700
R000373,2026-08-06 17:46:46.000 -0700,A109,Tomato,Vegetables,Indore,Delhi,11.87,85,0.72,75,78.7,23.067096,75.848802,2026-08-06 05:16:46.446 -0700
R000374,2026-08-06 17:46:51.000 -0700,A111,Antibiotics,Pharmaceuticals,Kochi,Bengaluru,7.58,46,0.44,79,80.4,17.258487,78.128413,2026-08-06 05:16:51.466 -0700
R000375,2026-08-06 17:46:56.000 -0700,A101,Mango,Fruits,Indore,Delhi,12.16,,0.14,61,42.6,17.446558,75.086891,2026-08-06 05:16:56.509 -0700
R000376,2026-08-06 17:47:01.000 -0700,A113,Cauliflower,Vegetables,Pune,Hyderabad,1.4,97,0.48,93,39.2,30.486772,76.134327,2026-08-06 05:17:01.521 -0700
R000377,2026-08-06 17:47:06.000 -0700,A108,Cauliflower,Vegetables,Pune,Lucknow,,98,0.58,47,77.6,30.906745,76.699722,2026-08-06 05:17:06.517 -0700
R000378,2026-08-06 17:47:11.000 -0700,A101,Blood Plasma,Pharmaceuticals,Indore,Bhopal,-20.87,35,0.18,63,51.3,17.898035,78.944775,2026-08-06 05:17:11.608 -0700
R000379,2026-08-06 17:47:16.000 -0700,A114,Apple,Fruits,Pune,Hyderabad,0.33,95,0.44,82,50.3,34.637038,75.195229,2026-08-06 05:17:16.585 -0700
R000380,2026-08-06 17:47:21.000 -0700,A113,Onion,Vegetables,Delhi,Amritsar,2.83,66,0.71,56,71.1,20.146524,74.42072,2026-08-06 05:17:21.574 -0700
R000381,2026-08-06 17:47:26.000 -0700,A103,Kiwi,Exotic Fruits & Vegetables,Nashik,Jaipur,,93,0.69,53,40.2,13.436736,77.042172,2026-08-06 05:17:26.588 -0700
R000382,2026-08-06 17:47:31.000 -0700,A104,Orange,Fruits,Nashik,Delhi,4.05,88,0.59,99,55,21.071491,79.209887,2026-08-06 05:17:31.604 -0700
R000383,2026-08-06 17:47:36.000 -0700,A109,Frozen Prawns,Frozen Foods,Nashik,Jaipur,,40,0.69,60,81.9,9.906111,76.907705,2026-08-06 05:17:36.605 -0700
R000384,2026-08-06 17:47:41.000 -0700,A109,Tomato,Vegetables,Kochi,Mumbai,,89,0.47,42,65.8,23.010143,75.154475,2026-08-06 05:17:41.629 -0700
R000385,2026-08-06 17:47:46.000 -0700,A114,Biologics,Pharmaceuticals,Indore,Bhopal,7.98,50,0.42,94,78.6,17.71888,78.386675,2026-08-06 05:17:46.663 -0700
R000386,2026-08-06 17:47:51.000 -0700,A112,Banana,Fruits,Hyderabad,Chennai,13.7,91,0.21,53,82.1,17.767165,80.859293,2026-08-06 05:17:51.660 -0700
R000387,2026-08-06 17:47:56.000 -0700,A107,Frozen French Fries,Frozen Foods,Delhi,Amritsar,-18.76,40,0.31,96,78.3,19.947038,72.650021,2026-08-06 05:17:56.680 -0700
R000388,2026-08-06 17:48:01.000 -0700,A112,Frozen Corn,Frozen Foods,Chennai,Coimbatore,,41,0.82,61,75.9,22.245127,75.239748,2026-08-06 05:18:01.677 -0700
R000389,2026-08-06 17:48:06.000 -0700,A107,Insulin,Pharmaceuticals,Nagpur,Hyderabad,2.87,40,0.17,91,82.8,17.148467,78.568383,2026-08-06 05:18:06.723 -0700
R000390,2026-08-06 17:48:11.000 -0700,A108,Frozen Chicken,Frozen Foods,Bengaluru,Kochi,-19.73,47,0.54,62,73.5,12.888116,77.822677,2026-08-06 05:18:11.710 -0700
R000391,2026-08-06 17:48:16.000 -0700,A108,Avocados,Exotic Fruits & Vegetables,Surat,Pune,7.82,70,0.37,69,42.2,12.603043,77.92305,2026-08-06 05:18:16.737 -0700
R000392,2026-08-06 17:48:21.000 -0700,A109,Potato,Vegetables,Kolkata,Guwahati,6.32,90,0.63,64,82.8,22.743663,75.259723,2026-08-06 05:18:21.740 -0700
R000393,2026-08-06 17:48:26.000 -0700,A107,Dragon Fruit,Exotic Fruits & Vegetables,Mumbai,Goa,11.74,86,0.2,58,36.7,17.125353,78.145412,2026-08-06 05:18:26.758 -0700
R000394,2026-08-06 17:48:31.000 -0700,A108,Green Peas,Vegetables,Bengaluru,Chennai,0.09,92,0.52,58,37.4,30.596805,76.639608,2026-08-06 05:18:31.766 -0700
R000395,2026-08-06 17:48:36.000 -0700,A114,Frozen Fish,Frozen Foods,Hyderabad,Kolkata,-19.89,46,0.92,97,65.4,10.444142,76.948832,2026-08-06 05:18:36.779 -0700
R000396,2026-08-06 17:48:41.000 -0700,A110,Antibiotics,Pharmaceuticals,Hyderabad,Chennai,6.48,38,0.5,41,89.2,17.23899,78.08767,2026-08-06 05:18:41.797 -0700
R000397,2026-08-06 17:48:46.000 -0700,A103,Orange,Fruits,Nagpur,Raipur,5.43,86,0.45,81,66.7,20.891513,78.256362,2026-08-06 05:18:46.825 -0700
R000398,2026-08-06 17:48:51.000 -0700,A102,Dragon Fruit,Exotic Fruits & Vegetables,Delhi,Amritsar,5.21,89,0.75,54,50.2,17.321095,78.459977,2026-08-06 05:18:51.830 -0700
R000399,2026-08-06 17:48:56.000 -0700,A114,Frozen Peas,Frozen Foods,Bengaluru,Chennai,-15.68,46,0.88,100,73.1,30.824496,76.871958,2026-08-06 05:18:56.880 -0700
R000400,2026-08-06 17:49:01.000 -0700,A109,Kiwi,Exotic Fruits & Vegetables,Indore,Bhopal,0.49,95,0.58,45,56.2,12.513884,77.325421,2026-08-06 05:19:02.173 -0700
R000401,2026-08-06 17:49:06.000 -0700,A106,Frozen French Fries,Frozen Foods,Kochi,Bengaluru,-19.34,42,0.65,52,40.7,19.813988,73.038692,2026-08-06 05:19:06.901 -0700
R000402,2026-08-06 17:49:11.000 -0700,A114,Kiwi,Exotic Fruits & Vegetables,Lucknow,Patna,0.71,92,0.37,64,78,13.393001,77.235828,2026-08-06 05:19:11.892 -0700
R000403,2026-08-06 17:49:16.000 -0700,A107,Mango,Fruits,Delhi,Amritsar,,87,0.35,76,64.8,17.619487,73.529058,2026-08-06 05:19:16.942 -0700
R000404,2026-08-06 17:49:21.000 -0700,A101,Medicines,Pharmaceuticals,Lucknow,Patna,22.26,60,0.28,78,66.4,17.294236,78.50617,2026-08-06 05:19:21.931 -0700
R000405,2026-08-06 17:49:26.000 -0700,A109,Dragon Fruit,Exotic Fruits & Vegetables,Surat,Pune,7.53,85,0.46,43,86.9,17.958584,78.027339,2026-08-06 05:19:26.977 -0700
R000406,2026-08-06 17:49:31.000 -0700,A112,Dragon Fruit,Exotic Fruits & Vegetables,Pune,Lucknow,10.77,87,0.26,84,64.3,17.508247,78.19052,2026-08-06 05:19:31.964 -0700
R000407,2026-08-06 17:49:36.000 -0700,A111,Orange,Fruits,Ahmedabad,Chandigarh,3.58,87,0.58,40,54,21.841408,79.783594,2026-08-06 05:19:37.009 -0700
R000408,2026-08-06 17:49:41.000 -0700,A101,Potato,Vegetables,Mumbai,Jaipur,4.04,93,0.4,64,88.8,22.96354,75.606802,2026-08-06 05:19:42.004 -0700
R000409,2026-08-06 17:49:46.000 -0700,A112,Frozen Fish,Frozen Foods,Bengaluru,Kochi,-19.95,44,0.26,40,81,9.72176,76.859672,2026-08-06 05:19:47.191 -0700
R000410,2026-08-06 17:49:51.000 -0700,A107,Mango,Fruits,Ahmedabad,Chandigarh,11.51,87,0.21,79,54.9,18.780813,73.842434,2026-08-06 05:19:52.029 -0700
R000411,2026-08-06 17:49:56.000 -0700,A105,Medicines,Pharmaceuticals,Nagpur,Hyderabad,16.91,52,0.16,97,86.6,17.515809,78.599283,2026-08-06 05:19:57.080 -0700
R000412,2026-08-06 17:50:02.000 -0700,A107,Frozen Prawns,Frozen Foods,Pune,Nagpur,-19.78,48,0.68,43,73.9,10.01093,76.756225,2026-08-06 05:20:02.084 -0700
R000413,2026-08-06 17:50:07.000 -0700,A114,Potato,Vegetables,Chennai,Coimbatore,6.44,90,0.55,46,38.5,22.829199,75.171671,2026-08-06 05:20:07.080 -0700
R000414,2026-08-06 17:50:12.000 -0700,A104,Grapes,Fruits,Indore,Bhopal,1.88,92,0.19,71,38,19.696767,73.806623,2026-08-06 05:20:12.130 -0700
R000415,2026-08-06 17:50:17.000 -0700,A102,Frozen Fish,Frozen Foods,Kolkata,Guwahati,-14.45,57,0.75,45,56.1,9.863029,76.880558,2026-08-06 05:20:17.130 -0700
R000416,2026-08-06 17:50:22.000 -0700,A106,Asparagus,Exotic Fruits & Vegetables,Mumbai,Jaipur,3.19,98,0.64,74,67.1,12.897693,77.818439,2026-08-06 05:20:22.160 -0700
R000417,2026-08-06 17:50:27.000 -0700,A111,Cauliflower,Vegetables,Ahmedabad,Delhi,0.77,96,0.24,59,33.7,30.384132,76.892131,2026-08-06 05:20:27.158 -0700
R000418,2026-08-06 17:50:32.000 -0700,A112,Frozen Meat,Frozen Foods,Mumbai,Delhi,-18.5,44,0.56,75,40.2,19.29342,72.76695,2026-08-06 05:20:32.201 -0700
R000419,2026-08-06 17:50:37.000 -0700,A108,Green Peas,Vegetables,Surat,Pune,0.02,94,0.56,90,71.1,30.47525,76.522168,2026-08-06 05:20:37.193 -0700
R000420,2026-08-06 17:50:42.000 -0700,A109,Avocados,Exotic Fruits & Vegetables,Nashik,Delhi,5.29,77,0.28,87,35.5,12.819419,77.605638,2026-08-06 05:20:42.214 -0700
R000421,2026-08-06 17:50:47.000 -0700,A109,Kiwi,Exotic Fruits & Vegetables,Indore,Bhopal,0.98,95,0.13,59,60,12.749678,77.624384,2026-08-06 05:20:47.214 -0700
R000422,2026-08-06 17:50:52.000 -0700,A114,Vaccines,Pharmaceuticals,Pune,Nagpur,7.11,37,0.17,62,73,17.95563,78.243661,2026-08-06 05:20:52.217 -0700
R000423,2026-08-06 17:50:57.000 -0700,A114,Frozen French Fries,Frozen Foods,Nashik,Delhi,-19.33,42,0.82,93,86.5,19.150897,72.526092,2026-08-06 05:20:57.224 -0700
R000424,2026-08-06 17:51:02.000 -0700,A101,Frozen Chicken,Frozen Foods,Ahmedabad,Chandigarh,-13,50,0.18,75,74,12.983347,77.697221,2026-08-06 05:21:02.236 -0700
R000425,2026-08-06 17:51:07.000 -0700,A109,Insulin,Pharmaceuticals,Mumbai,Ahmedabad,7.2,48,0.28,42,72.5,17.159279,78.03313,2026-08-06 05:21:07.236 -0700
R000426,2026-08-06 17:51:12.000 -0700,A108,Capsicum,Vegetables,Pune,Lucknow,9.17,90,0.45,40,38.4,12.767451,77.821258,2026-08-06 05:21:12.277 -0700
R000427,2026-08-06 17:51:17.000 -0700,A106,Mango,Fruits,Ahmedabad,Delhi,11.94,90,0.56,67,70.8,18.627377,73.35892,2026-08-06 05:21:17.294 -0700
R000428,2026-08-06 17:51:22.000 -0700,A106,Cauliflower,Vegetables,Ahmedabad,Chandigarh,1.08,95,0.35,67,89.1,30.695858,76.329575,2026-08-06 05:21:22.311 -0700
R000429,2026-08-06 17:51:27.000 -0700,A106,Cauliflower,Vegetables,Pune,Hyderabad,1.91,99,0.41,79,46.4,30.313192,76.698022,2026-08-06 05:21:27.324 -0700
R000430,2026-08-06 17:51:32.000 -0700,A114,Vaccines,Pharmaceuticals,Hyderabad,Chennai,11.91,47,0.49,66,63.8,17.067771,78.797029,2026-08-06 05:21:32.322 -0700
R000431,2026-08-06 17:51:37.000 -0700,A111,Carrot,Vegetables,Kolkata,Guwahati,3.11,96,0.6,73,39.3,30.224647,76.984694,2026-08-06 05:21:37.360 -0700
R000432,2026-08-06 17:51:42.000 -0700,A108,Carrot,Vegetables,Pune,Nagpur,5.39,95,0.2,71,36.3,30.990374,76.029615,2026-08-06 05:21:42.354 -0700
R000433,2026-08-06 17:51:47.000 -0700,A101,Biologics,Pharmaceuticals,Visakhapatnam,Bhubaneswar,2.89,40,0.12,56,49.7,17.458237,78.620307,2026-08-06 05:21:47.382 -0700
R000434,2026-08-06 17:51:52.000 -0700,A103,Cauliflower,Vegetables,Pune,Hyderabad,1.33,95,0.73,70,87.1,30.338384,76.33975,2026-08-06 05:21:52.389 -0700
R000435,2026-08-06 17:51:57.000 -0700,A115,Grapes,Fruits,Ahmedabad,Delhi,,93,0.18,86,75.7,20.13849,74.30701,2026-08-06 05:21:57.421 -0700
R000436,2026-08-06 17:52:02.000 -0700,A108,Biologics,Pharmaceuticals,Pune,Hyderabad,3.53,44,0.5,47,50.1,17.422339,78.396194,2026-08-06 05:22:02.426 -0700
R000437,2026-08-06 17:52:07.000 -0700,A104,Orange,Fruits,Ahmedabad,Delhi,8.62,89,0.69,93,50.4,21.428937,78.674907,2026-08-06 05:22:07.451 -0700
R000438,2026-08-06 17:52:12.000 -0700,A104,Capsicum,Vegetables,Bengaluru,Chennai,,90,0.44,56,66.6,12.726806,77.041927,2026-08-06 05:22:12.458 -0700
R000439,2026-08-06 17:52:17.000 -0700,A113,Blood Plasma,Pharmaceuticals,Ahmedabad,Delhi,-19.32,42,0.14,62,75.5,17.074388,78.550918,2026-08-06 05:22:17.477 -0700
R000440,2026-08-06 17:52:22.000 -0700,A101,Banana,Fruits,Pune,Nagpur,14.13,94,0.29,59,32.2,17.049991,80.108991,2026-08-06 05:22:22.487 -0700
R000441,2026-08-06 17:52:27.000 -0700,A110,Capsicum,Vegetables,Nashik,Delhi,7.89,93,0.35,99,75.4,13.192931,77.705717,2026-08-06 05:22:27.520 -0700
R000442,2026-08-06 17:52:32.000 -0700,A101,Frozen Prawns,Frozen Foods,Nashik,Delhi,-12.34,44,0.89,54,47.4,9.936057,76.584011,2026-08-06 05:22:32.547 -0700
R000443,2026-08-06 17:52:37.000 -0700,A104,Frozen Prawns,Frozen Foods,Mumbai,Ahmedabad,-19.97,45,0.32,41,31.1,9.512934,76.498934,2026-08-06 05:22:37.545 -0700
R000444,2026-08-06 17:52:42.000 -0700,A115,Antibiotics,Pharmaceuticals,Pune,Nagpur,2.75,33,0.23,96,53,17.00561,78.83824,2026-08-06 05:22:42.551 -0700
R000445,2026-08-06 17:52:47.000 -0700,A108,Frozen Peas,Frozen Foods,Nagpur,Raipur,-19.76,49,0.82,96,49.6,30.449366,76.622439,2026-08-06 05:22:47.572 -0700
R000446,2026-08-06 17:52:52.000 -0700,A102,Antibiotics,Pharmaceuticals,Mumbai,Ahmedabad,7.33,42,0.17,80,39.3,17.634272,78.692025,2026-08-06 05:22:52.570 -0700
R000447,2026-08-06 17:52:57.000 -0700,A106,Apple,Fruits,Nagpur,Raipur,2.08,93,0.11,98,74.5,34.322847,75.019901,2026-08-06 05:22:57.618 -0700
R000448,2026-08-06 17:53:02.000 -0700,A103,Frozen Prawns,Frozen Foods,Kolkata,Guwahati,-18.65,58,0.56,48,39.9,9.602651,76.583811,2026-08-06 05:23:02.619 -0700
R000449,2026-08-06 17:53:07.000 -0700,A101,Dragon Fruit,Exotic Fruits & Vegetables,Ahmedabad,Chandigarh,5.89,86,0.64,88,57.7,17.271326,78.814527,2026-08-06 05:23:07.639 -0700
R000450,2026-08-06 17:53:12.000 -0700,A113,Frozen Fish,Frozen Foods,Pune,Lucknow,-19.07,42,0.62,81,76.5,10.225609,76.758425,2026-08-06 05:23:12.668 -0700
R000451,2026-08-06 17:53:17.000 -0700,A106,Tomato,Vegetables,Visakhapatnam,Bhubaneswar,8.38,85,0.23,75,65.7,23.266855,75.875253,2026-08-06 05:23:17.702 -0700
R000452,2026-08-06 17:53:22.000 -0700,A102,Dragon Fruit,Exotic Fruits & Vegetables,Lucknow,Patna,6.28,86,0.3,53,43.1,17.995164,78.195897,2026-08-06 05:23:22.715 -0700
R000453,2026-08-06 17:53:27.000 -0700,A103,Avocados,Exotic Fruits & Vegetables,Ahmedabad,Chandigarh,,78,0.58,77,61.8,12.530132,77.917506,2026-08-06 05:23:27.712 -0700
R000454,2026-08-06 17:53:32.000 -0700,A115,Frozen Fish,Frozen Foods,Pune,Nagpur,,48,0.2,84,80.4,9.615471,76.198241,2026-08-06 05:23:32.749 -0700
R000455,2026-08-06 17:53:37.000 -0700,A113,Apple,Fruits,Ahmedabad,Chandigarh,2.84,92,0.68,69,88.5,34.24018,74.542337,2026-08-06 05:23:37.741 -0700
R000456,2026-08-06 17:53:42.000 -0700,A107,Asparagus,Exotic Fruits & Vegetables,Nashik,Jaipur,,99,0.65,58,72.1,12.579051,77.845352,2026-08-06 05:23:42.776 -0700
R000457,2026-08-06 17:53:47.000 -0700,A109,Strawberries,Fruits,Pune,Hyderabad,0.22,92,0.26,97,88.1,19.009152,73.35118,2026-08-06 05:23:47.796 -0700
R000458,2026-08-06 17:53:52.000 -0700,A115,Broccoli,Exotic Fruits & Vegetables,Bengaluru,Kochi,1.07,97,0.68,53,49.6,13.178987,77.328599,2026-08-06 05:23:52.824 -0700
R000459,2026-08-06 17:53:57.000 -0700,A104,Frozen French Fries,Frozen Foods,Lucknow,Patna,,56,0.62,43,88.3,19.534104,73.18286,2026-08-06 05:23:57.852 -0700
R000460,2026-08-06 17:54:02.000 -0700,A113,Green Peas,Vegetables,Kochi,Mumbai,0.62,90,0.52,92,67,30.972932,76.290526,2026-08-06 05:24:02.861 -0700
R000461,2026-08-06 17:54:07.000 -0700,A107,Strawberries,Fruits,Mumbai,Delhi,0.4,92,0.32,73,71.3,18.568294,73.62195,2026-08-06 05:24:07.869 -0700
R000462,2026-08-06 17:54:12.000 -0700,A115,Ice Cream,Frozen Foods,Delhi,Amritsar,-22.91,58,0.52,96,31,19.632102,73.033723,2026-08-06 05:24:12.882 -0700
R000463,2026-08-06 17:54:17.000 -0700,A109,Broccoli,Exotic Fruits & Vegetables,Nagpur,Raipur,3.08,100,0.48,93,51.6,12.774837,77.693129,2026-08-06 05:24:17.918 -0700
R000464,2026-08-06 17:54:22.000 -0700,A114,Potato,Vegetables,Indore,Bhopal,5.56,94,0.5,47,76.2,22.906368,76.075148,2026-08-06 05:24:22.933 -0700
R000465,2026-08-06 17:54:27.000 -0700,A110,Frozen Chicken,Frozen Foods,Hyderabad,Bengaluru,-19.39,52,0.88,69,34.3,13.486165,77.025621,2026-08-06 05:24:27.953 -0700
R000466,2026-08-06 17:54:32.000 -0700,A107,Insulin,Pharmaceuticals,Kolkata,Guwahati,6.79,40,0.19,71,53.3,17.103456,78.720907,2026-08-06 05:24:32.961 -0700
